fullName,url,stars,forks,pushed,language,license_key,license,license_class,reuse_terms,archived,description,project_area
Sydsec/syd,https://github.com/Sydsec/syd,87,13,2026-04-19,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Offline AI Security Assistant for Air-Gapped Pentesting,ERA-AI
benmaster82/writher,https://github.com/benmaster82/writher,81,18,2026-09-05,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"🎙️ Offline voice productivity for Windows - dictate text into any app and control a local AI assistant by voice. Manages notes, to-do lists, appointments & reminders. 100% local: faster-whisper + Ollama + SQLite. No cloud, no telemetry. Free and open source alternative to Wispr Flow",ERA-AI
seehiong/local-ai-starter,https://github.com/seehiong/local-ai-starter,79,0,2026-08-08,JavaScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"🚀 Zero-backend, 100% client-side local AI assistant starter template. Powered by WebGPU and Google LiteRT-LM (Gemma 4). Offline-first PWA with multi-language TTS, customizable personas, and GitHub Pages deployment in 5 minutes.",ERA-AI
WilliamKarolDiCioccio/open_local_ui,https://github.com/WilliamKarolDiCioccio/open_local_ui,70,6,2026-01-26,Dart,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Native desktop app for Windows, MacOS and Linux. Easily run Large Language Models locally, no complex setups required. Inspired by OpenWebUI's simplicity for LLM use.",ERA-AI
eharris128/Obsidian-LLM-Plugin,https://github.com/eharris128/Obsidian-LLM-Plugin,68,6,2026-08-18,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"The LLM plugin gives Obsidian users access to local and web-based, large language models via several chat interfaces: modal, widget, FAB window, and commands.",ERA-AI
indecenti/NucleoOs,https://github.com/indecenti/NucleoOs,56,4,2026-09-04,C,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Web-native OS for the M5Stack Cardputer (ESP32-S3): native firmware + a desktop-class browser shell, offline AI assistant (ANIMA), bilingual voice, games, a security lab, OTA.",ERA-AI
autogame-17/scribe-studio,https://github.com/autogame-17/scribe-studio,55,19,2026-07-25,Go,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,Scribe — multi-platform video → local Whisper transcription → LLM proofread with Typeless-style glossary learning. Wails v2 desktop app for macOS & Windows.,ERA-AI
RowanUnderwood/Synesthesia-AI-Video-Director,https://github.com/RowanUnderwood/Synesthesia-AI-Video-Director,54,10,2026-08-16,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Automate your AI music video workflow with Synesthesia Engine. This local Gradio app bridges audio analysis, LLM-driven storytelling, and LTX Desktop video generation. Simply drop in your song stems and lyrics, let the AI direct your storyboard, and batch-render your final cut.",ERA-AI
saeedkolivand/ai-job-hunter-app,https://github.com/saeedkolivand/ai-job-hunter-app,54,4,2026-09-06,Rust,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Local-first AI desktop assistant that scrapes job boards, matches roles to your resume, and auto-generates resumes & cover letters. Offline with Ollama, BYO API key, or route it through an AI CLI agent (Claude Code, Codex, Gemini CLI).",ERA-AI
writerslogic/scrivener-mcp,https://github.com/writerslogic/scrivener-mcp,49,15,2026-09-02,TypeScript,agpl-3.0,GNU Affero General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,"The definitive MCP server for Scrivener — connect your novels, screenplays, and manuscripts to Claude, ChatGPT, and any AI assistant. 53 tools: document management, writing analysis, content enhancement, offline semantic search, and character/plot tracking.",ERA-AI
lololerigolo60/Prompt-architect,https://github.com/lololerigolo60/Prompt-architect,46,3,2026-07-27,Python,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,Prompt Architect Pro is a Python desktop app that uses local Ollama LLMs to analyze raw texts and images. It extracts and structures visual descriptions into optimized JSON prompts for generative AI. It features a built-in SQLite database for prompt editing and adjustable VRAM hardware profiles. with a ComfyUI node that can use the database,ERA-AI
pieces-app/pieces-os-client-sdk-for-typescript,https://github.com/pieces-app/pieces-os-client-sdk-for-typescript,46,17,2025-06-16,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Use Local Language models with your own private and secure Copilot with 50+ powerful endpoints to enhance your next opensource idea to help fuel the community. Open Source by Pieces,ERA-AI
YashBhadange2006/TinyAI,https://github.com/YashBhadange2006/TinyAI,44,7,2026-08-13,Kotlin,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"On-device AI assistant for Android built with Kotlin, featuring local LLM inference, offline AI capabilities, and edge AI experimentation.",ERA-AI
AadityaSharma01/solus.AI,https://github.com/AadityaSharma01/solus.AI,43,5,2025-10-31,HTML,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"an offline conversational AI assistant integrating Whisper (speech-to-text), Llama 3.2 (LLM), and Piper (text-to-speech) with persistent memory management. System runs entirely locally without cloud dependencies.",ERA-AI
Fangyuan025/Chaty,https://github.com/Fangyuan025/Chaty,42,5,2026-09-06,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Private, on-device AI desktop app — GGUF (llama.cpp) & MLX, running Muse-Glimmer and Qwen3.8 with their native reasoning-effort ladders wired in as real controls. Local coding agent, RAG knowledge base, Deep Research, vision and voice. 100% offline, no account, no telemetry. Windows & macOS.",ERA-AI
beancookie/xiaoclaw,https://github.com/beancookie/xiaoclaw,42,6,2026-05-13,C++,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Local AI Agent firmware running on ESP32-S3, integrating offline voice wake-up with cloud TTS, supporting local LLM inference, tool calling, long-term memory storage and autonomous task execution.",ERA-AI
Garrus800-stack/genesis-agent,https://github.com/Garrus800-stack/genesis-agent,41,4,2026-07-30,JavaScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Self-aware cognitive AI agent with a persistent soul: reads, modifies & verifies its own code, plans autonomously, dreams in idle time, remembers across sessions (episodic memory + Obsidian vault bridge). Emotional state, trust levels, MCP server & client. Runs on Claude, GPT or local Ollama models. Electron desktop app (Windows/macOS/Linux).",ERA-AI
HuichanKIM/Ollama-Delphi-GUI,https://github.com/HuichanKIM/Ollama-Delphi-GUI,40,6,2025-05-14,Pascal,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Ollama Client GUI by Delphi,ERA-AI
v1tzor/StudyAssistant,https://github.com/v1tzor/StudyAssistant,40,6,2026-09-05,Kotlin,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Free. Offline-first, AI-agent, Tasks, TODO, Goals, Timer, Statistics, Analytics, Multi-Org",ERA-AI
ebongard/renfield,https://github.com/ebongard/renfield,38,7,2026-09-05,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Self-hosted AI assistant with voice satellites, 100+ tool integrations, RAG knowledge base, and full offline capability. Built with FastAPI + React + Ollama.",ERA-AI
dovvnloading/Cortex,https://github.com/dovvnloading/Cortex,37,6,2026-09-05,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Cortex is a desktop app for running Ollama models locally. No cloud processing, no remote servers, and no data leaving your machine. Micro harness built in for safe, local code execution.",ERA-AI
ZahinTapadar/BeautifyOllama,https://github.com/ZahinTapadar/BeautifyOllama,37,2,2025-10-27,TypeScript,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,"BeautifyOllama is an open-source web interface that enhances your local Ollama AI model interactions with a beautiful, modern design. Built with cutting-edge web technologies, it provides a seamless chat experience with stunning visual effects and enterprise-grade functionality.",ERA-AI
phuetz/code-buddy,https://github.com/phuetz/code-buddy,36,7,2026-09-06,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Local-first AI coding agent for the terminal. 64 LLM providers, 30 of them free or local $0, with auto-failover. 220+ tools, a peer-to-peer fleet, and a desktop app. No API bill required.",ERA-AI
lukaszliniewicz/ChaReCo,https://github.com/lukaszliniewicz/ChaReCo,36,5,2026-07-13,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A tool for concatenating the content of repositories and local folders as plain text to share with Large Language Models in chat interfaces without direct repo access or API integration.,ERA-AI
boringSQL/dryrun,https://github.com/boringSQL/dryrun,35,3,2026-09-05,Go,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"PostgreSQL schema intelligence MCP server with offline linting, migration safety, query validation for AI coding assistants.",ERA-AI
victorcarre6/LocalMind,https://github.com/victorcarre6/LocalMind,34,4,2025-09-15,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"A lightweight chat interface for interacting with local models, featuring persistent memory using a seamless SQLite database to store your conversations.",ERA-AI
janderswag/docuchat.app,https://github.com/janderswag/docuchat.app,33,0,2026-07-22,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Private, self-hosted document chat for attorneys: parse legal PDFs and query them with local open-source LLMs (Ollama) + verifiable page citations. One-click desktop app at docuchat.app.",ERA-AI
1902325620-del/fanorona-tactician,https://github.com/1902325620-del/fanorona-tactician,33,2,2026-07-14,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"棋局参谋 / Board Tactician：面向《刺客信条 IV》的迂棋、英式西洋跳棋与莫里斯九子棋离线本地 AI 助手。Offline local AI assistant for Fanorona, English Draughts and Nine Men's Morris.",ERA-AI
SagarBiswas-MultiHAT/Speech2Speech-AIAssistant,https://github.com/SagarBiswas-MultiHAT/Speech2Speech-AIAssistant,32,0,2026-02-13,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Speech2Speech-AIAssistant; A lightweight, offline-capable voice assistant that listens for a wake phrase, converts speech to text, runs local or API-based intent handling, and replies with natural-sounding TTS. Built for quick local deployment, it supports configurable wake words, microphone I/O, and easy integration with custom actions or LLMs.",ERA-AI
0xAdafang/PersonAi,https://github.com/0xAdafang/PersonAi,31,7,2025-08-25,Rust,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"PersonAi is a local-first desktop app that lets you create and chat with AI-powered characters. Built with Tauri, React, Rust, Go, and Python, privacy-friendly experience with persistent local history, character customization, and full offline support. Perfect for storytelling, roleplay, or prototyping local LLM assistants.",ERA-AI
snougo/Godot-AI-Chat,https://github.com/snougo/Godot-AI-Chat,31,0,2026-08-27,GDScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Godot AI Chat is a Godot plugin that enables direct conversation with LLMs within the Godot editor interface. It supports both local and remote LLMs.,ERA-AI
sk8erboi17/DStudio,https://github.com/sk8erboi17/DStudio,30,2,2026-09-06,HTML,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Run DeepSeek V4 fully local: chat, a coding agent, and a design studio in one private desktop app.",ERA-AI
SagarBiswas-MultiHAT/BlackHAT-AI-Assistant,https://github.com/SagarBiswas-MultiHAT/BlackHAT-AI-Assistant,30,0,2026-02-13,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"BlackHAT-AI-Assistant; A local Python desktop assistant (Tkinter) that runs Groq AI queries, maps natural commands to quick web actions (Google, YouTube, GitHub), and persists session history. Lightweight, customizable GUI, easy to extend with new shortcuts and offline session recall for fast personal workflows.",ERA-AI
HanSyngha/Local-CLI,https://github.com/HanSyngha/Local-CLI,30,3,2026-05-11,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"AI Coding Assistant CLI for offline enterprise environments - Local LLM platform with Plan & Execute architecture, Supervised Mode, and auto-update system",ERA-AI
maniotrix/offline-ai-assistant,https://github.com/maniotrix/offline-ai-assistant,28,6,2025-04-09,Jupyter Notebook,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Vision-first AI agent for desktop automation. Fully offline. Powered by YOLO, OCR & ResNet — building towards local intelligence.",ERA-AI
fru-dev3/fd-apps-prevail-desktop,https://github.com/fru-dev3/fd-apps-prevail-desktop,27,0,2026-08-19,TypeScript,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,"Private, local-first AI ""life OS"": any model per life-domain over a markdown vault on your machine. Council mode, open source (GPL-3.0).",ERA-AI
JakeFurtaw/Chat-RAG,https://github.com/JakeFurtaw/Chat-RAG,26,3,2025-05-06,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Advanced Coding AI Assistant that uses a Gradio interface to stream coding related responses. ChatRAG supports local and API inference and pulls context from GitHub Repos and local files.,ERA-AI
dstackai/dstack,https://github.com/dstackai/dstack,2238,258,2026-09-05,Python,mpl-2.0,Mozilla Public License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Vendor-agnostic orchestration for training, inference and agentic workloads across NVIDIA, AMD, TPU, and Tenstorrent on clouds, Kubernetes, and bare metal.",GPUForge
uber/petastorm,https://github.com/uber/petastorm,1892,286,2026-01-02,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Petastorm library enables single machine or distributed training and evaluation of deep learning models from datasets in Apache Parquet format. It supports ML frameworks such as Tensorflow, Pytorch, and PySpark and can be used from pure Python code.",GPUForge
AI-Hypercomputer/xpk,https://github.com/AI-Hypercomputer/xpk,193,94,2026-08-27,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"xpk (Accelerated Processing Kit, pronounced x-p-k,) is a software tool to help Cloud developers to orchestrate training jobs on accelerators such as TPUs and GPUs on GKE.",GPUForge
NoteDance/Note,https://github.com/NoteDance/Note,69,2,2026-08-22,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Machine learning library, Distributed training, Deep learning, Reinforcement learning, Models, TensorFlow, PyTorch",GPUForge
edaaydinea/AI-Projects-for-Healthcare,https://github.com/edaaydinea/AI-Projects-for-Healthcare,272,76,2026-04-05,Jupyter Notebook,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"This repository is included artificial intelligence, machine learning, data science, computer vision projects related to healthcare.",HealthForecastAI
WenjieDu/TSDB,https://github.com/WenjieDu/TSDB,240,21,2026-09-03,Python,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"a Python toolbox loads 173 public time series datasets for machine/deep learning with a single line of code. Datasets from multiple domains including healthcare, financial, power, traffic, weather, and etc.",HealthForecastAI
ahlem-phantom/AI-HealthCare-Assistant,https://github.com/ahlem-phantom/AI-HealthCare-Assistant,148,54,2026-05-01,Jupyter Notebook,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"🏥 AI-powered healthcare web app | Symptom detection · Nearest doctor search · Blockchain medical records · X-Ray diagnosis · Face ID auth | Built with React, Node.js, Python, Flask, MongoDB & Ethereum smart contracts | MERN Stack · Machine Learning",HealthForecastAI
DavieObi/Heart-Disease-Prediction,https://github.com/DavieObi/Heart-Disease-Prediction,54,38,2025-10-18,Jupyter Notebook,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Heart disease is one of the leading causes of death worldwide, and early detection can greatly improve outcomes. This project applies machine learning to predict the likelihood of heart disease based on clinical and lifestyle data, providing a practical, beginner-friendly example of data science applied to healthcare.",HealthForecastAI
ramkalapala/Federated,https://github.com/ramkalapala/Federated,52,0,2026-05-28,Jupyter Notebook,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Federated-learning Healthcare privacy Machine Learning HIPAA workers-compensation,HealthForecastAI
